plausibility	novel_word
3	lobsterist
2.4	centurionist
2.8	headlandist
3.4	denunciationist
2.9	fairgroundist
2.8	secretionist
2.8	peroxidist
3.5	mysterist
2.7	inversist
3.2	cushionist
2.9	thronist
2.4	flankist
2.7	ethanolist
3.2	infrastructurist
3.6	deterrentist
3.3	liaisonist
2.3	waterfallist
3.4	wirist
2.7	overlordist
2.7	daisist
3.8	oppressionist
2.8	sandist
3.7	spicist
3.8	souvenirist
2.6	socketist
3.4	blacksmithist
3.1	sludgist
2.8	oscillationist
3.4	blossomist
2.5	flamist
3.9	mutilationist
3.3	barcodist
2.9	siegist
2.8	crustist
3.4	quotationist
2.8	glarist
3.4	itemist
2.5	lordist
3.3	garbagist
3	misconductist
2.8	polyesterist
3	minionist
1.9	cobaltist
2.6	umbrellist
3.5	recessionist
4	provocationist
3.6	burialist
3.3	opticianist
2.6	grandmotherist
2.9	housekeeperist
2.6	polypropylenist
3.3	hivist
2.7	ingestionist
3.1	renegadist
2.7	germist
2.6	off-seasonist
2.1	hardcoverist
4	reggaeless
4.3	minibusless
4.5	rinkless
4	assortmentless
4.2	hypertensionless
5	acneless
4.5	musketless
3.5	biologistless
4.4	icebergless
4.3	tavernless
4	prosecutionless
4.3	denimless
4.6	ulcerless
3.7	decompressionless
3.5	goblinless
3.6	increaseless
3.3	inhalationless
4.1	seclusionless
4.4	provinceless
4.1	pheasantless
4	flashbackless
3.6	fairgroundless
4.4	encryptionless
4.5	apricotless
4.3	proclamationless
3.5	stewless
3.1	slagless
4.5	chairmanless
4.5	ghettoless
3.7	philosopherless
4.5	allegationless
4.1	parlourless
4.4	transporterless
4.2	stealthless
4.4	reconciliationless
3.3	devolutionless
4.6	firepowerless
4.5	corvetteless
4.1	perforationless
4.2	encroachmentless
3.8	pre-seasonless
3.9	retailerless
3.9	linebackerless
4.2	censusless
4.4	freshwaterless
4.1	warheadless
3.3	herringless
4.2	daylightless
3.8	parklandless
3.5	avoidanceless
3.9	salesmanless
4	hikeless
4.8	obstacleless
4.4	sunlightless
4.1	garrisonless
3.7	characterizationless
4.1	airtimeless
4.5	campsiteless
3.9	constructorless
4.5	trampolineless
4.4	pharmacistless
4.2	liquidatorless
4.2	refluxless
3.5	hypocriteless
4.6	figureheadless
4.5	manhoodless
4.4	barnless
4.6	fluorideless
4.2	developmentless
3.7	shutoutless
4.6	pastureless
3.7	shortfallless
3.6	jadeless
4.7	mottoless
4.4	cauldronless
3.9	directorateless
3.5	vigilanceless
3.7	experimenterless
3.5	decentralisationless
4.1	rebateless
4.7	patronless
4.6	chunkless
4.1	suppressorless
4.2	floristless
3.8	idealistless
4.7	successorless
3.7	chipsetless
4.3	counselless
4.2	steamboatless
3.8	spannerless
4.1	seizureless
3.5	sprawlless
3.9	alumnusless
4.4	accumulationless
4.1	liberatorless
2.9	eaterless
4.6	raptureless
3.4	closenessless
3.6	sultanateless
3.7	sweetnessless
3.2	reunzip
3.8	reweaken
3.1	reclutch
3.3	reoverhear
3.9	reemanate
3.7	remottle
4	redrench
3.8	redislodge
3.3	reintend
3.7	rehop
3.6	refade
3.8	relament
4.1	reembarrass
3.4	rebrag
3.4	reoblige
3.6	reprotrude
4.5	reengulf
4.1	resubvert
3.3	redecease
3.7	reforeshadow
3.9	redisappoint
3.9	reincapacitate
3.4	redistance
3.6	reappend
3.8	reundertake
4	refinalise
4	reflout
3.4	rewander
4	reacquit
4	rewithdraw
3.7	remisrepresent
4	reslam
3.5	remull
3.2	rerave
3.3	restave
4.1	reshelter
4	resplash
3.4	rewithstand
4	retempt
3.9	reabort
3.5	rechat
3.1	redecry
3.3	reskirt
3.3	retrash
3.3	reweep
3.3	represuppose
3.3	reforget
4.2	recircle
3.8	recoax
4.4	reamaze
4.1	repinpoint
3.5	rewhisper
4.3	retorment
3.9	rebrowse
3.9	recontravene
4.2	rethreaten
3.5	reespouse
3.6	reprotest
3.8	reexclaim
4.2	reappease
3.1	regroan
3.9	resurpass
4.2	repause
3.7	repetrify
3.7	redevour
3.8	relinger
4.1	reunderscore
4.2	reindicate
3.7	rediminish
3.6	redisapprove
3.8	regape
3.8	reshout
3.7	recoincide
2.5	reoutrage
3.3	redisengage
3.8	redisband
4.3	retranspire
3.4	redissipate
4.3	reprovoke
3.8	rewonder
3.8	reflop
3.3	reboom
3.2	repoise
3.5	restartle
3.3	redisregard
4.4	recram
3.6	rederail
2.3	rematter
3.9	reslope
3.6	reoutgrow
3.4	remarch
3.3	rescorch
3.5	reoust
4.2	reconstrain
3.1	reunmask
4.1	reinsult
3.7	resideline
3.2	reprefer
3.9	resympathise
3.3	rebelieve
3.4	unheuristic
3.2	unwesternmost
4.3	unmoroccan
3.6	unarthurian
3.8	unnorthern
3.8	unstumbling
4.3	unslippery
3.7	unpharmaceutical
4.4	undizzy
4.3	unprecarious
3.6	unraucous
4.4	ununionist
4.4	uncausal
4.1	unviscous
4	unoriental
4.3	unsilky
2.7	unthird
3.3	unerstwhile
4.2	uninfamous
3.6	unyearly
4.2	unsoulful
4.2	unspinal
4.1	undivisional
3.2	uninvertebrate
3.7	unpsychiatric
3.9	unbourgeois
4.1	unutilitarian
2.8	unmucous
3.8	uncirculatory
3.6	underelict
4	unornate
3.7	unwidespread
3.7	undraconian
3.7	unbacterial
3.8	unballistic
4	unbiomedical
4.5	unnocturnal
3.3	unoptic
3	uncalcareous
4.4	uninsignificant
4.1	unnude
4.2	untorrential
4.7	undiligent
3.5	undominican
3.9	uncollective
3.7	unarcheological
2.6	untwelfth
2.9	unimperfect
3.5	unpeninsular
4.1	unregimental
4.4	unconceptual
4.4	unborderline
3.6	untaxonomic
4.2	unprized
4.2	unsuperior
4.2	unimplicit
4.3	unmessianic
4.1	unirresistible
3.6	unoval
3.8	unchemical
3.4	unantisocial
3.1	uninterdisciplinary
4.4	ungrandiose
4.2	undrab
3.4	untenuous
3.3	unscant
4	unmissing
3.3	unetruscan
4.3	unimpoverished
4	uncontingent
4	unludicrous
3.7	uninescapable
3.4	unsubsequent
3.1	undemographic
4.5	unlenient
4.2	unmusculoskeletal
4	unexquisite
4.1	unresultant
3.4	unaboriginal
4.6	unobsessive
4.4	unsporadic
4.6	unoutspoken
2.6	unretinal
3.9	unfederal
4	unrepellent
4.4	undesperate
4.4	undefiant
4.3	unhuge
4.1	unresidual
4.4	unwicked
4.3	unbreathtaking
3.9	unrelativistic
4.5	unpsychic
4.4	unaloof
4	unhefty
4	uncrude
4.3	unswift
4.6	unheartfelt
4.1	unorganizational
4.2	undreary
